"Please open the sezame app and authorize the authentication request!","Bitte öffnen sie die sezame App und bestätigen sie die Authentifizierungsanfrage!"
"(not required when using Sezame)","(bei Verwendung von Sezame nicht benötigt)"
"The request has not been authorized in time.","Die Authentifizierungsanfrage wurde nicht rechtzeitig bestätigt."
"Invalid login.","Ungültiger Login."
"The authorization has been denied.","Die Authentifizierungsanfrage wurde zurückgewiesen."
