"Please open the sezame app and authorize the authentication request!","Please open the sezame app and authorize the authentication request!"
"(not required when using Sezame)","(not required when using Sezame)"
"The request has not been authorized in time.","The request has not been authorized in time."
"Invalid login.","Invalid login."
"The request has not been authorized in time.","The request has not been authorized in time."
"The authorization has been denied.","The authorization has been denied."
